id,location,name,followers_count,statuses_count,time_zone,verified,lang,screen_name,description,created_at,favourites_count,friends_count,listed_count,influence_score,engagement_rate
1039581360.0,Amerika,Dark Nally,22.0,22603.0,Jakarta,False,id,darknally,uptodate news!!!!,2012-12-27 13:06:58+00:00,0.0,40.0,16.0,62.0,982.7391304347826
2404145297.0,,Мистер Пудинг,81.0,1310.0,Moscow,False,ru,Puddin_Leto,"Вы верите в дружбу, а я верю в шантаж.",2014-03-12 07:09:51+00:00,2264.0,85.0,0.0,166.0,15.975609756097562
2512994207.0,,Невротик,97.0,1912.0,Moscow,False,ru,rusnevrotik,,2014-04-27 16:34:47+00:00,2658.0,120.0,1.0,217.0,19.510204081632654
2534875924.0,,F.R.I.E.N.D.S,70.0,2024.0,Moscow,False,ru,6Druz,"Если я стану похож на своих родителей, то либо стану блондинкой-алкоголичкой, которая гоняется за двадцатилетними парнями, либо буду, как моя мама.",2014-05-08 09:32:12+00:00,2751.0,11.0,0.0,81.0,28.507042253521128
2568897527.0,Москва,Сергей Брянцев,51.0,1280.0,Yerevan,False,ru,Sergbriantsev,"Только одно отечество заключает в себе то, что дорого всем.",2014-05-28 12:37:40+00:00,748.0,3.0,0.0,54.0,24.615384615384617
2577152109.0,,ДенИс,87.0,1479.0,Moscow,False,ru,Denn_Nikitin,,2014-06-02 10:35:09+00:00,1719.0,70.0,0.0,157.0,16.806818181818183
2536836075.0,,Фрида,95.0,1703.0,Volgograd,False,ru,OH_Frida,"Нет ничего дороже смеха, с его помощью можно оторваться от себя, стать невесомой.",2014-05-09 10:29:55+00:00,3057.0,120.0,1.0,215.0,17.739583333333332
2544279414.0,,Stuart O'Shaughnessy,79.0,1914.0,,False,en,Shocko_10,,2014-06-03 21:00:25+00:00,422.0,216.0,3.0,295.0,23.925
2567949836.0,,Хоррор,84.0,1778.0,Volgograd,False,ru,HorrorKi,"Обещания дают, чтобы нарушать, чтобы
разрушать, разбивать вдребезги, на мелкие
кусочки, дробить",2014-06-14 23:33:22+00:00,2096.0,343.0,1.0,427.0,20.91764705882353
2578327831.0,,Микки Улыбается,76.0,1433.0,Moscow,False,ru,MikkyRurk,HA HA HA HA HA HA HA HA,2014-06-20 08:34:22+00:00,2655.0,34.0,3.0,110.0,18.61038961038961
2578879620.0,,Том Рони,76.0,1463.0,Volgograd,False,ru,Zistti,Хочется выпить.,2014-06-20 16:02:54+00:00,2178.0,323.0,1.0,399.0,19.0
2586251828.0,Москва,Лила Горила,85.0,1884.0,Volgograd,False,ru,Lila_Gorila,"Я же росла нормальным ребенком, дальше чё случилось-то?",2014-06-24 19:44:26+00:00,2634.0,251.0,0.0,336.0,21.906976744186046
2429465939.0,,Арсений или Роман,72.0,1281.0,Moscow,False,ru,Arseni_Roman,У меня черный пояс по сарказму.,2014-03-22 19:35:29+00:00,3234.0,241.0,4.0,313.0,17.54794520547945
2482076083.0,,Сестра Джуд Мартин,90.0,1131.0,Moscow,False,ru,Bratuha_Borcuha,,2014-05-07 12:57:38+00:00,2048.0,226.0,1.0,316.0,12.428571428571429
7.473442508958843e+17,the corner of happy & healthy,Markiya,92.0,3871.0,,False,en,internalmemer,sour. salty. bitter.,2016-06-27 08:22:09+00:00,17113.0,74.0,3.0,166.0,41.623655913978496
2563075183.0,,Твоя Харли,88.0,1321.0,Volgograd,False,ru,med_Harley,,2014-06-12 09:21:46+00:00,1461.0,518.0,0.0,606.0,14.842696629213483
2577151334.0,,Миллениум,88.0,1807.0,Volgograd,False,ru,MiliMillennium,"План действий на сегодня:
1. Проебать день
2. Лечь спать",2014-06-19 16:41:05+00:00,2450.0,108.0,0.0,196.0,20.303370786516854
2519246716.0,,Кортон,98.0,1564.0,Moscow,False,ru,MrServelat,Редкий покемон,2014-04-30 15:34:20+00:00,2491.0,240.0,0.0,338.0,15.797979797979798
2575626468.0,Омск,Шикарный,87.0,1288.0,Volgograd,False,ru,ShikarnoeL,"только те люди, которые мне нравятся, могут трогать мои волосы",2014-06-18 23:01:57+00:00,1790.0,349.0,2.0,436.0,14.636363636363637
7.25305686989656e+17,,Berlin Bote,8.0,6804.0,Bern,False,de,BerlinBote,,2016-04-27 12:48:46+00:00,0.0,0.0,7.0,8.0,756.0
2401770593.0,"Moscow, Russia",Валерий Бреусов,91.0,1078.0,Baku,False,en,briys_valera,"Любите душу, а не то, что снаружи.",2014-03-11 09:47:20+00:00,498.0,53.0,0.0,144.0,11.717391304347826
3906961827.0,Paris,Maxime Garon,82.0,1024.0,Paris,False,fr,maximgaron1,"Né à #Paris, je m'interesse des affaires étrangères. Tu peux trouver ici les #nouvelles récentes, n'hésitez pas à partager vos pensées. #Syrie",2015-10-09 07:46:20+00:00,31.0,522.0,1.0,604.0,12.337349397590362
