user_key,mean_interval,min_interval,max_interval,tweet_count,user_id,first_tweet,last_tweet
newarkvoice,1.1369863013698631,0.0,5.0,73,3091936475.0,2016-08-17 11:32:17,2016-10-03 12:20:41
worldnewspoli,3.9166666666666665,1.0,11.0,24,7.892661254859981e+17,2016-10-28 02:01:15,2016-11-08 12:32:45
brianaregland,5.233398058252427,3.0,54.0,2575,1868496344.0,2016-07-19 16:37:39,2017-01-16 12:11:41
paulinett,5.669854280510018,0.0,56.0,2196,1617939218.0,2016-08-23 13:44:22,2017-07-27 22:46:34
lilylilyhasse,6.023255813953488,2.0,33.0,43,,2017-06-14 16:26:49,2017-06-30 14:39:52
staywoke88,6.068181818181818,4.0,14.0,44,1651692980.0,2016-10-07 04:58:20,2016-11-21 04:15:30
nojonathonno,6.518518518518518,4.0,59.0,54,1518857420.0,2016-07-23 17:23:47,2016-11-21 06:55:16
datwisenigga,6.795031055900621,4.0,59.0,2093,1684524144.0,2016-07-23 15:28:55,2017-08-07 17:29:32
melanymelanin,6.843947217441193,0.0,59.0,1743,1655194147.0,2016-01-07 20:33:52,2017-01-30 18:28:21
laurabaeley,7.049107142857143,0.0,59.0,2464,1658202894.0,2015-06-01 23:30:41,2017-03-24 11:23:46
